id_partido,id_equipo,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
131410290001,1,240,36.0,93.0,9.0,19.0,6.0,10.0,13.0,26.0,17.0,10.0,6.0,17.0,26.0
131410290001,2,240,34.0,71.0,7.0,17.0,22.0,32.0,10.0,34.0,17.0,4.0,18.0,20.0,13.0
131410290002,3,240,35.0,83.0,7.0,26.0,18.0,23.0,11.0,30.0,23.0,11.0,4.0,18.0,27.0
131410290002,4,240,37.0,72.0,11.0,20.0,22.0,29.0,5.0,35.0,26.0,10.0,7.0,18.0,21.0
131410290003,5,240,41.0,83.0,8.0,21.0,13.0,23.0,10.0,30.0,27.0,11.0,4.0,16.0,21.0
131410290003,6,240,42.0,93.0,14.0,29.0,18.0,28.0,18.0,34.0,23.0,8.0,6.0,19.0,23.0
131410300004,7,240,33.0,82.0,9.0,24.0,19.0,24.0,9.0,28.0,24.0,8.0,8.0,15.0,27.0
131410300004,8,240,35.0,84.0,5.0,15.0,23.0,34.0,16.0,32.0,21.0,7.0,3.0,11.0,20.0
131410300005,9,240,32.0,66.0,3.0,13.0,20.0,29.0,7.0,26.0,15.0,10.0,7.0,22.0,27.0
131410300005,10,240,38.0,86.0,5.0,17.0,12.0,23.0,19.0,29.0,15.0,9.0,6.0,17.0,25.0
131410300006,4,240,42.0,85.0,16.0,40.0,10.0,13.0,7.0,24.0,30.0,7.0,0.0,19.0,25.0
131410300006,11,240,43.0,80.0,8.0,21.0,20.0,24.0,8.0,32.0,24.0,16.0,1.0,18.0,21.0
131410300007,12,240,34.0,78.0,10.0,25.0,24.0,32.0,13.0,25.0,23.0,5.0,3.0,16.0,30.0
131410300007,13,240,39.0,78.0,9.0,24.0,26.0,33.0,12.0,32.0,24.0,6.0,4.0,18.0,27.0
131410300008,14,240,34.0,74.0,5.0,16.0,10.0,12.0,5.0,26.0,19.0,10.0,4.0,23.0,22.0
131410300008,15,240,36.0,71.0,3.0,13.0,15.0,17.0,6.0,28.0,17.0,12.0,6.0,22.0,16.0
131410300009,2,240,30.0,70.0,10.0,23.0,25.0,30.0,6.0,31.0,19.0,5.0,12.0,16.0,18.0
131410300009,16,240,34.0,85.0,5.0,11.0,17.0,21.0,15.0,28.0,17.0,7.0,5.0,15.0,29.0
131410300010,1,265,47.0,100.0,10.0,27.0,11.0,18.0,14.0,40.0,21.0,7.0,6.0,18.0,29.0
131410300010,17,265,42.0,100.0,8.0,25.0,28.0,34.0,14.0,35.0,27.0,7.0,3.0,14.0,19.0
131410300011,18,240,33.0,90.0,4.0,10.0,13.0,20.0,12.0,25.0,14.0,8.0,6.0,7.0,21.0
131410300011,19,240,36.0,76.0,9.0,25.0,15.0,24.0,14.0,40.0,17.0,4.0,6.0,18.0,16.0
131410300012,20,240,39.0,93.0,8.0,15.0,8.0,15.0,11.0,33.0,24.0,6.0,3.0,14.0,15.0
131410300012,21,240,40.0,76.0,11.0,20.0,10.0,16.0,4.0,36.0,25.0,3.0,6.0,15.0,18.0
131410300013,22,240,37.0,76.0,8.0,24.0,27.0,35.0,5.0,28.0,27.0,16.0,5.0,17.0,20.0
131410300013,23,240,44.0,77.0,11.0,24.0,19.0,24.0,7.0,35.0,31.0,7.0,2.0,20.0,22.0
131410300014,24,240,33.0,81.0,6.0,19.0,29.0,33.0,10.0,35.0,9.0,15.0,4.0,13.0,24.0
131410300014,25,240,36.0,79.0,6.0,22.0,20.0,30.0,10.0,34.0,25.0,6.0,5.0,22.0,28.0
