id_jugador,nombre_completo
1,Arron Afflalo
2,Nikola Vučević
3,Jameer Nelson
4,Jason Maxiell
5,Maurice Harkless
6,E'Twaun Moore
7,Victor Oladipo
8,Andrew Nicholson
9,Kyle O'Quinn
10,Ronnie Price
11,Solomon Jones
12,Tobias Harris
13,Doron Lamb
14,Paul George
15,Lance Stephenson
16,David West
17,George Hill
18,Roy Hibbert
19,Luis Scola
20,C.J. Watson
21,Ian Mahinmi
22,Orlando Johnson
23,Solomon Hill
24,Rasual Butler
25,Chris Copeland
26,Donald Sloan
27,Derrick Rose
28,Carlos Boozer
29,Jimmy Butler
30,Luol Deng
31,Joakim Noah
32,Kirk Hinrich
33,Taj Gibson
34,Mike Dunleavy
35,Tony Snell
36,Nazr Mohammed
37,Mike James
38,Erik Murphy
39,Marquis Teague
40,LeBron James
41,Dwyane Wade
42,Chris Bosh
43,Mario Chalmers
44,Udonis Haslem
45,Ray Allen
46,Shane Battier
47,Norris Cole
48,Chris Andersen
49,Joel Anthony
50,Michael Beasley
51,James Jones
52,Rashard Lewis
53,Blake Griffin
54,Chris Paul
55,DeAndre Jordan
56,J.J. Redick
57,Jared Dudley
58,Matt Barnes
59,Jamal Crawford
60,Darren Collison
61,Ryan Hollins
62,Reggie Bullock
63,Willie Green
64,Antawn Jamison
65,Byron Mullens
66,Pau Gasol
67,Steve Blake
68,Nick Young
69,Steve Nash
70,Shawne Williams
71,Jordan Farmar
72,Xavier Henry
73,Jodie Meeks
74,Wesley Johnson
75,Chris Kaman
76,Jordan Hill
77,Ryan Kelly
78,Robert Sacre
79,Joe Johnson
80,Brook Lopez
81,Paul Pierce
82,Kevin Garnett
83,Deron Williams
84,Alan Anderson
85,Andray Blatche
86,Jason Terry
87,Reggie Evans
88,Shaun Livingston
89,Mason Plumlee
90,Tyshawn Taylor
91,Mirza Teletović
92,Tristan Thompson
93,Anderson Varejão
94,Kyrie Irving
95,Dion Waiters
96,Earl Clark
97,Jarrett Jack
98,Alonzo Gee
99,C.J. Miles
100,Anthony Bennett
101,Andrew Bynum
102,Tyler Zeller
103,Matthew Dellavedova
104,Henry Sims
105,Gerald Wallace
106,Jeff Green
107,Brandon Bass
108,Avery Bradley
109,Vítor Luiz Faverani
110,Kris Humphries
111,Jordan Crawford
112,Kelly Olynyk
113,Courtney Lee
114,Phil Pressey
115,Keith Bogans
116,MarShon Brooks
117,Jared Sullinger
118,DeMar DeRozan
119,Kyle Lowry
120,Rudy Gay
121,Jonas Valančiūnas
122,Amir Johnson
123,Tyler Hansbrough
124,Landry Fields
125,D.J. Augustin
126,Terrence Ross
127,Steve Novak
128,Dwight Buycks
129,Austin Daye
130,Julyan Stone
131,Roger Mason
132,Evan Turner
133,Michael Carter-Williams
134,James Anderson
135,Thaddeus Young
136,Spencer Hawes
137,Tony Wroten
138,Lavoy Allen
139,Daniel Orton
140,Darius Morris
141,Kwame Brown
142,Brandon Davies
143,Hollis Thompson
144,John Wall
145,Bradley Beal
146,Trevor Ariza
147,Nenê
148,Trevor Booker
149,Martell Webster
150,Al Harrington
151,Marcin Gortat
152,Eric Maynor
153,Garrett Temple
154,Kevin Séraphin
155,Glen Rice Jr.
156,Jan Veselý
157,Greg Monroe
158,Josh Smith
159,Will Bynum
160,Chauncey Billups
161,Andre Drummond
162,Kyle Singler
163,Kentavious Caldwell-Pope
164,Jonas Jerebko
165,Gigi Datome
166,Tony Mitchell
167,Peyton Siva
168,Josh Harrellson
169,Charlie Villanueva
170,O.J. Mayo
171,Caron Butler
172,Khris Middleton
173,Larry Sanders
174,Brandon Knight
175,Zaza Pachulia
176,Gary Neal
177,Nate Wolters
178,Ersan İlyasova
179,John Henson
180,Giannis Antetokounmpo
181,Miroslav Raduljica
182,Luke Ridnour
183,Carmelo Anthony
184,Pablo Prigioni
185,Raymond Felton
186,Iman Shumpert
187,Tyson Chandler
188,Metta World Peace
189,Andrea Bargnani
190,Tim Hardaway Jr.
191,Beno Udrih
192,Kenyon Martin
193,Cole Aldrich
194,J.R. Smith
195,Amar'e Stoudemire
196,Anthony Davis
197,Jrue Holiday
198,Eric Gordon
199,Al-Farouq Aminu
200,Jason Smith
201,Tyreke Evans
202,Arinze Onuaku
203,Greg Stiemsma
204,Brian Roberts
205,Anthony Morrow
206,Lance Thomas
207,Austin Rivers
208,Jeff Withey
209,Kevin Martin
210,Kevin Love
211,Ricky Rubio
212,Corey Brewer
213,Nikola Peković
214,Dante Cunningham
215,J.J. Barea
216,Alexey Shved
217,Ronny Turiaf
218,Gorgui Dieng
219,Robbie Hummel
220,Shabazz Muhammad
221,Derrick Williams
222,Kemba Walker
223,Gerald Henderson
224,Michael Kidd-Gilchrist
225,Al Jefferson
226,Josh McRoberts
227,Jeff Taylor
228,Ramon Sessions
229,Bismack Biyombo
230,Cody Zeller
231,Anthony Tolliver
232,Jeff Adrien
233,Ben Gordon
234,Jannero Pargo
235,Chandler Parsons
236,James Harden
237,Dwight Howard
238,Ömer Aşık
239,Patrick Beverley
240,Jeremy Lin
241,Francisco García
242,Omri Casspi
243,Aaron Brooks
244,Ronnie Brewer
245,Terrence Jones
246,Donatas Motiejūnas
247,Greg Smith
248,Marc Gasol
