id_partido,id_temporada,fecha,id_local,id_visitante
131401010467,1,2014-01-01,12,23
131401010468,1,2014-01-01,10,2
131401010469,1,2014-01-01,17,16
131401010470,1,2014-01-01,28,11
131401010471,1,2014-01-01,5,18
131401020472,1,2014-01-02,8,1
131401020473,1,2014-01-02,4,30
131401020474,1,2014-01-02,3,9
131401020475,1,2014-01-02,24,7
131401020476,1,2014-01-02,21,15
131401020477,1,2014-01-02,27,20
131401020478,1,2014-01-02,25,14
131401020479,1,2014-01-02,26,18
131401020480,1,2014-01-02,29,11
131401030481,1,2014-01-03,12,10
131401030482,1,2014-01-03,22,30
131401030483,1,2014-01-03,9,16
131401030484,1,2014-01-03,19,15
131401030485,1,2014-01-03,23,5
131401030486,1,2014-01-03,28,20
131401030487,1,2014-01-03,6,25
131401040488,1,2014-01-04,2,16
131401040489,1,2014-01-04,1,4
131401040490,1,2014-01-04,7,8
131401040491,1,2014-01-04,3,22
131401040492,1,2014-01-04,17,24
131401040493,1,2014-01-04,21,5
131401040494,1,2014-01-04,27,14
131401040495,1,2014-01-04,26,11
131401040496,1,2014-01-04,29,18
131401050497,1,2014-01-05,13,20
131401050498,1,2014-01-05,8,2
131401050499,1,2014-01-05,4,10
131401050500,1,2014-01-05,12,30
131401050501,1,2014-01-05,24,9
131401050502,1,2014-01-05,23,15
131401050503,1,2014-01-05,6,28
131401060504,1,2014-01-06,11,17
131401060505,1,2014-01-06,7,22
131401060506,1,2014-01-06,5,1
131401070507,1,2014-01-07,18,12
131401070508,1,2014-01-07,8,11
131401070509,1,2014-01-07,2,10
131401070510,1,2014-01-07,4,16
131401070511,1,2014-01-07,15,13
131401070512,1,2014-01-07,3,27
131401070513,1,2014-01-07,20,21
131401070514,1,2014-01-07,14,30
131401070515,1,2014-01-07,23,6
131401070516,1,2014-01-07,28,9
131401070517,1,2014-01-07,25,24
131401070518,1,2014-01-07,29,26
131401080519,1,2014-01-08,21,23
131401080520,1,2014-01-08,10,13
131401080521,1,2014-01-08,22,2
131401080522,1,2014-01-08,7,30
131401080523,1,2014-01-08,19,6
131401080524,1,2014-01-08,16,12
131401080525,1,2014-01-08,17,27
131401080526,1,2014-01-08,26,1
131401080527,1,2014-01-08,5,9
131401090528,1,2014-01-09,15,4
131401090529,1,2014-01-09,28,24
131401100530,1,2014-01-10,2,12
131401100531,1,2014-01-10,11,13
131401100532,1,2014-01-10,22,19
131401100533,1,2014-01-10,7,4
131401100534,1,2014-01-10,20,27
131401100535,1,2014-01-10,17,18
131401100536,1,2014-01-10,16,23
131401100537,1,2014-01-10,14,3
131401100538,1,2014-01-10,25,8
131401100539,1,2014-01-10,29,1
131401100540,1,2014-01-10,30,9
131401100541,1,2014-01-10,5,6
131401110542,1,2014-01-11,10,7
131401110543,1,2014-01-11,12,19
131401110544,1,2014-01-11,13,27
131401110545,1,2014-01-11,11,15
131401110546,1,2014-01-11,3,18
131401110547,1,2014-01-11,24,14
131401110548,1,2014-01-11,23,16
131401110549,1,2014-01-11,28,1
131401110550,1,2014-01-11,26,9
131401120551,1,2014-01-12,20,22
131401120552,1,2014-01-12,29,8
131401120553,1,2014-01-12,21,17
131401130554,1,2014-01-13,10,14
131401130555,1,2014-01-13,9,19
131401130556,1,2014-01-13,15,27
131401130557,1,2014-01-13,3,12
131401130558,1,2014-01-13,16,21
131401130559,1,2014-01-13,23,1
131401130560,1,2014-01-13,25,28
131401140561,1,2014-01-14,18,15
131401140562,1,2014-01-14,2,29
131401140563,1,2014-01-14,20,24
131401140564,1,2014-01-14,6,8
131401150565,1,2014-01-15,1,3
131401150566,1,2014-01-15,11,18
131401150567,1,2014-01-15,12,4
131401150568,1,2014-01-15,9,10
131401150569,1,2014-01-15,14,20
131401150570,1,2014-01-15,17,29
131401150571,1,2014-01-15,16,19
131401150572,1,2014-01-15,21,25
131401150573,1,2014-01-15,27,6
131401150574,1,2014-01-15,26,8
131401150575,1,2014-01-15,30,28
131401150576,1,2014-01-15,5,23
131401160577,1,2014-01-16,22,7
131401160578,1,2014-01-16,2,15
131401160579,1,2014-01-16,19,24
131401170580,1,2014-01-17,15,5
131401170581,1,2014-01-17,1,18
131401170582,1,2014-01-17,11,4
131401170583,1,2014-01-17,10,17
131401170584,1,2014-01-17,12,3
131401170585,1,2014-01-17,9,6
131401170586,1,2014-01-17,13,25
131401170587,1,2014-01-17,20,29
131401170588,1,2014-01-17,21,26
131401170589,1,2014-01-17,28,8
131401170590,1,2014-01-17,27,23
131401170591,1,2014-01-17,24,30
131401180592,1,2014-01-18,2,5
131401180593,1,2014-01-18,12,13
131401180594,1,2014-01-18,18,4
131401180595,1,2014-01-18,3,11
131401180596,1,2014-01-18,19,14
131401180597,1,2014-01-18,17,25
131401180598,1,2014-01-18,16,30
131401180599,1,2014-01-18,23,26
131401190600,1,2014-01-19,10,6
131401190601,1,2014-01-19,1,9
131401190602,1,2014-01-19,24,29
131401190603,1,2014-01-19,21,14
131401190604,1,2014-01-19,27,28
131401200605,1,2014-01-20,8,23
131401200606,1,2014-01-20,13,5
131401200607,1,2014-01-20,18,10
131401200608,1,2014-01-20,12,11
131401200609,1,2014-01-20,15,7
131401200610,1,2014-01-20,20,16
131401200611,1,2014-01-20,22,4
131401200612,1,2014-01-20,3,6
131401200613,1,2014-01-20,19,26
131401200614,1,2014-01-20,30,2
131401210615,1,2014-01-21,7,1
131401210616,1,2014-01-21,4,9
131401210617,1,2014-01-21,16,29
131401210618,1,2014-01-21,24,26
131401210619,1,2014-01-21,25,17
131401220620,1,2014-01-22,18,5
131401220621,1,2014-01-22,8,3
131401220622,1,2014-01-22,1,22
131401220623,1,2014-01-22,10,23
131401220624,1,2014-01-22,12,9
131401220625,1,2014-01-22,15,11
131401220626,1,2014-01-22,19,29
131401220627,1,2014-01-22,14,13
131401220628,1,2014-01-22,21,24
131401220629,1,2014-01-22,27,2
131401230630,1,2014-01-23,4,6
131401230631,1,2014-01-23,26,28
131401240632,1,2014-01-24,1,6
131401240633,1,2014-01-24,11,10
131401240634,1,2014-01-24,22,21
131401240635,1,2014-01-24,9,24
131401240636,1,2014-01-24,7,23
131401240637,1,2014-01-24,8,14
131401240638,1,2014-01-24,13,16
131401240639,1,2014-01-24,15,18
131401240640,1,2014-01-24,3,5
131401240641,1,2014-01-24,19,20
131401240642,1,2014-01-24,27,12
131401240643,1,2014-01-24,29,2
131401240644,1,2014-01-24,30,17
131401250645,1,2014-01-25,18,3
131401250646,1,2014-01-25,10,5
131401250647,1,2014-01-25,11,24
131401250648,1,2014-01-25,20,19
131401250649,1,2014-01-25,14,22
131401250650,1,2014-01-25,28,2
131401250651,1,2014-01-25,25,12
131401250652,1,2014-01-25,26,17
131401260653,1,2014-01-26,4,21
